exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,conductivity,thickness
660858dddc56149493ba3d7e,Spring24_SolvTemp_JPM_1,0.0,0.0,100,30,7.45,0.000015
66085f3c82f78f6f268541f3,Spring24_SolvTemp_JPM_2,0.0,100,0.0,30,3.31,0.00000504
660861c681d775fd84048281,Spring24_SolvTemp_JPM_3,100,0.0,0.0,30,9.17,0.00000649
660864188342d8f8565f210a,Spring24_SolvTemp_JPM_4,20,50,30,30,7.19,0.00000606
6608651d8342d8f8567debaa,Spring24_SolvTemp_JPM_5,60,10,30,30,8.84,0.00000583
6608663cdc561494935b873d,Spring24_SolvTemp_JPM_6,50,30,20,60,27.14,0.00000723
6608670fdc561494937564a5,Spring24_SolvTemp_JPM_7,20,20,60,60,10.62,0.00000933
660867c78342d8f856c2a083,Spring24_SolvTemp_JPM_8,30,30,40,60,13.78,Nick
6608688c5003d64741483d66,Spring24_SolvTemp_JPM_9,20,40,40,90,16.89,0.00000817
6608697394e011fc192d23e9,Spring24_SolvTemp_JPM_10,0.0,50,50,90,16.32,0.000008
66086a7754a36d6df38c34a2,Spring24_SolvTemp_JPM_11,60,10,30,90,17.57,0.00001083
66086b5bdc56149493dfcf5d,Spring24_SolvTemp_JPM_12,30,0.0,70,90,17.1,0.0000066
66086c4194e011fc198295e0,Spring24_SolvTemp_JPM_13,60,20,20,180,10.34,0.00000677
66086f5882f78f6f266d085b,Spring24_SolvTemp_JPM_14,0.0,50,50,180,10.62,0.00000598
66087079aebabf93762570c5,Spring24_SolvTemp_JPM_15,50,50,0.0,210,5.39,0.00000577
660871a68342d8f856e86284,Spring24_SolvTemp_JPM_16,10,50,40,210,5.12,0.00000524
660872ff5003d64741903693,Spring24_SolvTemp_JPM_17,0.0,30,70,120,0.00000636,0.00000636
6608745582f78f6f26fe87b1,Spring24_SolvTemp_JPM_18,10,50,40,120,32.42,0.00000603
660876568342d8f856726fda,Spring24_SolvTemp_JPM_19,40,20,40,120,31.33,0.00000718
66087789dc561494934f7069,Spring24_SolvTemp_JPM_20,20,60,20,120,29.86,0.00000617
660878a05003d64741287f99,Spring24_SolvTemp_JPM_21,10,90,0.0,150,20.94,0.00000632
660879a55003d647414ab371,Spring24_SolvTemp_JPM_22,40,30,30,150,47.28,0.0000047
66087a9a82f78f6f26afd268,Spring24_SolvTemp_JPM_23,10,40,50,150,41.05,0.0000054
66087ba881d775fd841e4e90,Spring24_SolvTemp_JPM_24,30,20,50,150,45.08,0.00000547
66087e36dc56149493176624,Spring24_SolvTemp_JPM_25,20,30,50,240,7.45,0.0000073
66087f408342d8f85680613b,Spring24_SolvTemp_JPM_26,60,0.0,40,240,10.37,0.00000584
6608804682f78f6f264a3c71,Spring24_SolvTemp_JPM_27,80,10,10,240,9.83,0.00000733
6608815e82f78f6f266c8067,Spring24_SolvTemp_JPM_28,60,40,0.0,240,10.16,0.00000643
660885fd5003d64741d09fb0,Spring24_SolvTemp_JPM_29,30,40,30,270,6.92,0.00000385
660887528342d8f85671035b,Spring24_SolvTemp_JPM_30,100,0.0,0.0,270,17.7,0.0000036
660888beaebabf9376ea6f57,Spring24_SolvTemp_JPM_31,0.0,0.0,100,270,14.82,0.0000049
66088b035003d647416d9579,Spring24_SolvTemp_JPM_32,0.0,100,0.0,270,12.45,0.0000027
66088bdc81d775fd841b66fa,Spring24_SolvTemp_JPM_33,60,40,0.0,120,10.72,0.00000684
66088cbe82f78f6f26ce49a9,Spring24_SolvTemp_JPM_34,30,0.0,70,210,8.3,0.00000641
66088e0281d775fd845c1e46,Spring24_SolvTemp_JPM_35,30,0.0,70,180,1.52,0.00000343
66088eff5003d64741e403b3,Spring24_SolvTemp_JPM_36,100,0.0,0.0,150,39.52,0.00000389
660890408342d8f856738636,Spring24_SolvTemp_JPM_37,0.0,0.0,100,150,31.29,0.00000692
660892a5a6bd9adf4b807a91,Spring24_SolvTemp_JPM_38,0.0,0.0,100,180,12.06,0.00000493
660894015003d6474188ca82,Spring24_SolvTemp_JPM_39,10,10,80,210,0.41,0.00000597
6608951154a36d6df394f875,Spring24_SolvTemp_JPM_40,90,10,0.0,120,16.64,0.0000074
660896208342d8f856134709,Spring24_SolvTemp_JPM_41,100,0.0,0.0,120,19.3,0.00000697
660897115003d64741e199a3,Spring24_SolvTemp_JPM_42,20,10,70,180,0.65,0.0000038
660898188342d8f8565021a9,Spring24_SolvTemp_JPM_43,10,10,80,180,1.26,0.00000302
6608995654a36d6df3171c97,Spring24_SolvTemp_JPM_44,20,0.0,80,210,7.67,0.00000603
66089abf8342d8f856a00bdb,Spring24_SolvTemp_JPM_45,20,0.0,80,180,15.62,0.00000549
66089c32dc561494937007bc,Spring24_SolvTemp_JPM_46,40,60,0.0,30,7.62,0.00000566
66089d1ddc561494938bfa39,Spring24_SolvTemp_JPM_47,0.0,10,90,180,17.12,0.00000591
66089fe1dc56149493d9ccd4,Spring24_SolvTemp_JPM_48,40,60,0.0,60,6.73,0.00000368
6608a124a6bd9adf4b435741,Spring24_SolvTemp_JPM_49,40,60,0.0,90,27.33,0.00000348
6608a1f6dc56149493159c9b,Spring24_SolvTemp_JPM_50,10,0.0,90,150,22.35,0.00000653
6608a2b5dc56149493290a1e,Spring24_SolvTemp_JPM_51,50,50,0.0,30,5.2,0.00000453
6608a4f8a6bd9adf4bc1e6b1,Spring24_SolvTemp_JPM_52,50,50,0.0,90,12.93,0.00000674
6608a6185003d647418bbcd2,Spring24_SolvTemp_JPM_53,50,50,0.0,120,15.34,0.00000754
6608a78c54a36d6df3b3fdf0,Spring24_SolvTemp_JPM_54,10,0.0,90,180,14.25,0.00000624
6608a892a6bd9adf4b31acb9,Spring24_SolvTemp_JPM_55,70,30,0.0,90,19.76,0.00000455
6608aefc82f78f6f26ba8e55,Spring24_SolvTemp_JPM_56,30,0.0,70,240,14.84,0.00000483
6608b05754a36d6df3c00d43,Spring24_SolvTemp_JPM_57,60,40,0.0,90,16.86,0.00000594
6608b516a6bd9adf4ba28b92,Spring24_SolvTemp_JPM_58,0.0,0.0,100,120,29.58,0.00000643
6608b6358342d8f856c1a519,Spring24_SolvTemp_JPM_59,30,0.0,70,270,16.8,0.00000305
6608b8de54a36d6df3b631dd,Spring24_SolvTemp_JPM_60,0.0,20,80,210,10.67,0.00000538
6608ba0aa6bd9adf4b38353e,Spring24_SolvTemp_JPM_61,0.0,10,90,150,43.02,0.00000509
6608be885003d64741607537,Spring24_SolvTemp_JPM_62,50,50,0.0,60,5.82,0.00000653
6608bfc65003d647418dcfe8,Spring24_SolvTemp_JPM_63,30,70,0.0,60,25.17,0.0000036
6608c1388342d8f85616c645,Spring24_SolvTemp_JPM_64,70,30,0.0,120,19.64,0.00000617
6608c23e81d775fd8470aeca,Spring24_SolvTemp_JPM_65,0.0,20,80,150,24.2,0.00000581
6608c35e5003d64741f370b6,Spring24_SolvTemp_JPM_66,0.0,100,0.0,210,9.91,0.00000403
6608c453dc5614949316285c,Spring24_SolvTemp_JPM_67,0.0,100,0.0,90,12.59,0.00000537
6608c5c0a6bd9adf4b90927e,Spring24_SolvTemp_JPM_68,0.0,90,10,210,9.4,0.00000395
6608c6a282f78f6f266495a9,Spring24_SolvTemp_JPM_69,0.0,90,10,90,15.84,0.00000587
6608c7c4dc5614949379bf35,Spring24_SolvTemp_JPM_70,0.0,80,20,120,26.77,0.00000551
6608c896aebabf9376967554,Spring24_SolvTemp_JPM_71,0.0,80,20,90,13.16,0.00000678
6608c9e9dc56149493af095c,Spring24_SolvTemp_JPM_72,0.0,70,30,90,24.01,0.00000487
6608caee82f78f6f26d6f19f,Spring24_SolvTemp_JPM_73,10,80,10,90,18.12,0.00000587
6608cbd08342d8f8563cd1e4,Spring24_SolvTemp_JPM_74,10,30,60,150,25.31,0.00000672
6608ccf6dc56149493086e12,Spring24_SolvTemp_JPM_75,20,80,0.0,90,14.55,0.00000643
6608cdfadc561494932234c1,Spring24_SolvTemp_JPM_76,20,80,0.0,120,26.83,0.00000542
6608ceed8342d8f856a0196a,Spring24_SolvTemp_JPM_77,10,90,0.0,90,17.32,0.00000587
6608cfad8342d8f856b74347,Spring24_SolvTemp_JPM_78,10,90,0.0,210,44.1,0.00000339
6608d077a6bd9adf4bb5f9d8,Spring24_SolvTemp_JPM_79,70,20,10,150,25.66,0.0000058
6608d1405003d647417bcc34,Spring24_SolvTemp_JPM_80,80,20,0.0,150,24.1,0.00000616
6608d21d82f78f6f26b8232c,Spring24_SolvTemp_JPM_81,0.0,30,70,150,49.87,0.00000437
6608d2d2f8a43891b1226a6a,Spring24_SolvTemp_JPM_82,10,80,10,120,25.62,0.00000522
6608d3738342d8f8561f96e4,Spring24_SolvTemp_JPM_83,0.0,80,20,240,33.61,0.00000291
6608d4168342d8f85635fc38,Spring24_SolvTemp_JPM_84,0.0,70,30,270,23.14,0.00000273
6608d4a15003d64741e0a8ee,Spring24_SolvTemp_JPM_85,0.0,100,0.0,180,8.95,0.00000494
6608d55baebabf937623fae3,Spring24_SolvTemp_JPM_86,10,70,20,90,20.07,0.00000603
6608d612f8a43891b17ccd63,Spring24_SolvTemp_JPM_87,10,70,20,270,25.69,0.00000318
6608d6bbdc5614949313a8d8,Spring24_SolvTemp_JPM_88,20,70,10,270,25.68,0.00000298
6608d757aebabf93766de5c8,Spring24_SolvTemp_JPM_89,0.0,100,0.0,120,26.48,0.00000524
6608d8038342d8f856ba4b28,Spring24_SolvTemp_JPM_90,20,80,0.0,240,32.65,0.00000308
6608d8a9aebabf93769bc6f0,Spring24_SolvTemp_JPM_91,30,70,0.0,270,26.04,0.00000295
6608d94082f78f6f268a2535,Spring24_SolvTemp_JPM_92,0.0,80,20,210,14.37,0.00000329
6608d9d082f78f6f269ab5b4,Spring24_SolvTemp_JPM_93,100,0.0,0.0,180,19.63,0.00000557
6608dab6dc561494937f15dd,Spring24_SolvTemp_JPM_94,10,80,10,210,18.45,0.00000337
6608db5881d775fd8443e48f,Spring24_SolvTemp_JPM_95,20,80,0.0,210,13.93,0.00000358
6608dc0782f78f6f26d806ee,Spring24_SolvTemp_JPM_96,0.0,90,10,120,26.23,0.00000515
